n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
948,0.00213,-,0.07234,0.07430,0.03852,0.03879
949,0.00216,-,0.07648,0.07508,0.03704,0.03805
950,0.00209,-,0.07156,0.07457,0.03980,0.03977
951,0.00209,-,0.07171,0.07455,0.03677,0.03752
952,0.00212,-,0.07205,0.07508,0.03840,0.03749
953,0.00211,-,0.07203,0.07414,0.03714,0.03755
954,0.00212,-,0.07611,0.07531,0.03630,0.03633
955,0.00213,-,0.07238,0.07507,0.03936,0.03978
956,0.00208,-,0.07274,0.07155,0.03753,0.03753
957,0.00211,-,0.07644,0.07165,0.03879,0.03848
958,0.00220,-,0.07012,0.07600,0.03852,0.03752
959,0.00209,-,0.07169,0.07370,0.03875,0.03881
960,0.00218,-,0.07531,0.07468,0.03772,0.03742
961,0.00224,-,0.07654,0.07621,0.03749,0.03751
962,0.00211,-,0.07229,0.07386,0.03700,0.03877
963,0.00235,-,0.07583,0.07456,0.03907,0.03586
964,0.00238,-,0.07670,0.07132,0.03779,0.04003
965,0.00231,-,0.07246,0.07320,0.03765,0.03754
966,0.00218,-,0.07655,0.07590,0.03803,0.03754
967,0.00224,-,0.07207,0.07506,0.03754,0.03748
968,0.00216,-,0.07202,0.07455,0.03763,0.03753
969,0.00216,-,0.07192,0.07456,0.03754,0.03676
970,0.00207,-,0.07167,0.07455,0.03757,0.03486
971,0.00215,-,0.07080,0.07317,0.03754,0.03752
972,0.00214,-,0.07609,0.07096,0.03875,0.03751
973,0.00208,-,0.07080,0.07459,0.03674,0.03702
974,0.00219,-,0.07205,0.07378,0.03875,0.03608
975,0.00219,-,0.07166,0.06861,0.03633,0.03749
976,0.00217,-,0.07160,0.07443,0.03928,0.03611
977,0.00214,-,0.07650,0.07509,0.03874,0.03632
978,0.00215,-,0.07606,0.07486,0.03616,0.03699
979,0.00224,-,0.07205,0.07451,0.03750,0.03488
980,0.00214,-,0.07284,0.07663,0.03980,0.03750
981,0.00214,-,0.07165,0.07109,0.03483,0.03750
982,0.00213,-,0.07288,0.07375,0.03861,0.03752
983,0.00214,-,0.07234,0.07535,0.03983,0.03878
984,0.00212,-,0.07220,0.07322,0.03875,0.03828
985,0.00215,-,0.07438,0.07225,0.03749,0.03757
986,0.00216,-,0.07606,0.07561,0.03753,0.03875
987,0.00216,-,0.07164,0.07457,0.03680,0.03753
988,0.00216,-,0.07605,0.07062,0.03616,0.03973
989,0.00210,-,0.07202,0.07660,0.03978,0.03980
990,0.00217,-,0.07376,0.07168,0.03980,0.03755
991,0.00214,-,0.07611,0.07459,0.03758,0.03672
992,0.00217,-,0.07202,0.07531,0.03979,0.03704
993,0.00212,-,0.06958,0.07288,0.03755,0.03973
994,0.00215,-,0.07637,0.07094,0.03481,0.03974
995,0.00213,-,0.07292,0.07671,0.03979,0.03755
996,0.00210,-,0.07522,0.07510,0.03623,0.03973
997,0.00208,-,0.07205,0.07212,0.03874,0.03630
998,0.00210,-,0.07614,0.07058,0.03752,0.03976
999,0.00214,-,0.07645,0.07279,0.03979,0.03974
