n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
139,0.00209,-,0.01942,0.03951,0.03737,0.03754
140,0.00212,-,0.01948,0.03958,0.03755,0.03878
141,0.00210,-,0.01913,0.03958,0.03758,0.03752
142,0.00208,-,0.01913,0.03843,0.03757,0.03990
143,0.00230,-,0.01885,0.03970,0.03978,0.03985
144,0.00218,-,0.01946,0.03886,0.03634,0.03886
145,0.00217,-,0.01893,0.03881,0.03851,0.03876
146,0.00208,-,0.01945,0.03758,0.03614,0.03750
147,0.00225,-,0.01948,0.03964,0.03867,0.03648
148,0.00213,-,0.01947,0.03959,0.03976,0.03974
149,0.00204,-,0.01944,0.03767,0.03910,0.03946
150,0.00210,-,0.01945,0.03638,0.03753,0.03880
151,0.00211,-,0.01913,0.03959,0.03632,0.03755
152,0.00207,-,0.01946,0.03956,0.03636,0.03878
153,0.00207,-,0.01668,0.03537,0.03970,0.03880
154,0.00208,-,0.01918,0.03846,0.03779,0.03945
155,0.00206,-,0.01922,0.03757,0.03753,0.03875
156,0.00206,-,0.01917,0.03879,0.03881,0.03755
157,0.00210,-,0.01912,0.03955,0.03886,0.03923
158,0.00207,-,0.01919,0.03883,0.03952,0.03966
159,0.00207,-,0.01945,0.03956,0.03973,0.03975
160,0.00209,-,0.01948,0.03665,0.03972,0.03973
161,0.00215,-,0.01915,0.03539,0.03979,0.03970
162,0.00203,-,0.01795,0.03935,0.03576,0.03756
163,0.00207,-,0.01819,0.03959,0.03884,0.04018
164,0.00205,-,0.01699,0.03877,0.03601,0.03783
165,0.00198,-,0.01876,0.03948,0.03970,0.03980
166,0.00208,-,0.01941,0.03957,0.03979,0.03974
167,0.00213,-,0.01946,0.03959,0.03770,0.03967
168,0.00208,-,0.01941,0.03954,0.03965,0.03970
169,0.00205,-,0.01943,0.03905,0.03966,0.03964
170,0.00206,-,0.01944,0.03728,0.03881,0.03976
171,0.00209,-,0.01946,0.03956,0.03968,0.03969
172,0.00205,-,0.01944,0.03815,0.03971,0.03661
173,0.00210,-,0.01944,0.03958,0.03641,0.03880
174,0.00207,-,0.01907,0.03894,0.03765,0.03673
175,0.00202,-,0.01746,0.03961,0.03976,0.03663
176,0.00207,-,0.01945,0.03762,0.03883,0.03881
177,0.00209,-,0.01868,0.03832,0.03753,0.03755
178,0.00208,-,0.01944,0.03956,0.03756,0.03748
179,0.00207,-,0.01905,0.03953,0.03842,0.03754
180,0.00213,-,0.01912,0.03964,0.03778,0.03815
181,0.00209,-,0.01943,0.03958,0.03822,0.03979
182,0.00208,-,0.01946,0.03961,0.03848,0.03664
183,0.00211,-,0.01908,0.03956,0.03882,0.03637
184,0.00210,-,0.01943,0.03957,0.03758,0.03755
185,0.00209,-,0.01943,0.03827,0.03977,0.03628
186,0.00208,-,0.01913,0.03966,0.03882,0.03629
187,0.00215,-,0.01789,0.03754,0.03882,0.03973
188,0.00209,-,0.01953,0.03870,0.03852,0.03941
189,0.00208,-,0.01852,0.03949,0.03752,0.03621
190,0.00211,-,0.01944,0.03960,0.03848,0.03752
191,0.00212,-,0.01909,0.03873,0.03859,0.03644
192,0.00209,-,0.01947,0.03956,0.03967,0.03965
193,0.00195,-,0.01875,0.03745,0.03754,0.03875
194,0.00207,-,0.01916,0.03956,0.03759,0.03800
195,0.00219,-,0.01886,0.03839,0.03754,0.03759
196,0.00213,-,0.01949,0.03986,0.03714,0.03918
197,0.00231,-,0.01964,0.03844,0.03753,0.03751
198,0.00207,-,0.01916,0.03968,0.03716,0.03751
199,0.00213,-,0.01909,0.03959,0.03883,0.03885
200,0.00208,-,0.01916,0.03849,0.03721,0.03527
201,0.00210,-,0.01890,0.03881,0.03984,0.03888
202,0.00212,-,0.01946,0.03958,0.03891,0.03755
203,0.00208,-,0.01822,0.03586,0.03973,0.03973
204,0.00204,-,0.01947,0.03959,0.03687,0.03748
205,0.00213,-,0.01946,0.03904,0.03751,0.03671
206,0.00210,-,0.01944,0.03882,0.03979,0.03975
207,0.00205,-,0.01839,0.03733,0.03752,0.03755
208,0.00210,-,0.01942,0.03953,0.03976,0.03973
209,0.00211,-,0.01946,0.03462,0.03975,0.03969
210,0.00208,-,0.01943,0.03962,0.03976,0.03968
211,0.00212,-,0.01948,0.03682,0.03976,0.03804
212,0.00211,-,0.01910,0.03846,0.03909,0.03971
213,0.00213,-,0.01788,0.03966,0.03973,0.03974
214,0.00213,-,0.01946,0.03881,0.03974,0.03977
215,0.00208,-,0.01944,0.03879,0.03971,0.03754
216,0.00209,-,0.01913,0.03760,0.03880,0.03953
217,0.00209,-,0.01882,0.03877,0.03883,0.03595
218,0.00210,-,0.01913,0.03879,0.03978,0.03969
219,0.00206,-,0.01803,0.03969,0.03790,0.03937
220,0.00213,-,0.01851,0.03942,0.03757,0.03752
221,0.00211,-,0.01948,0.03895,0.03883,0.03611
222,0.00210,-,0.01911,0.03954,0.03790,0.03755
223,0.00205,-,0.01943,0.03954,0.03762,0.03751
224,0.00211,-,0.01946,0.03839,0.03749,0.03754
225,0.00212,-,0.01947,0.03956,0.03757,0.03752
226,0.00208,-,0.01794,0.03628,0.03847,0.03979
227,0.00205,-,0.01948,0.03956,0.03970,0.03834
228,0.00205,-,0.01920,0.03954,0.03765,0.03753
229,0.00212,-,0.01909,0.03958,0.03756,0.03750
230,0.00212,-,0.01945,0.03954,0.03883,0.03894
231,0.00214,-,0.01945,0.03883,0.03634,0.03875
232,0.00206,-,0.01852,0.03953,0.03678,0.03751
233,0.00212,-,0.01945,0.03956,0.03972,0.03667
234,0.00230,-,0.01960,0.03955,0.03678,0.03720
235,0.00216,-,0.01947,0.03956,0.03973,0.03661
236,0.00210,-,0.01946,0.03751,0.03681,0.03690
237,0.00210,-,0.01890,0.03759,0.03879,0.03629
238,0.00213,-,0.01906,0.03759,0.03756,0.03875
239,0.00211,-,0.01913,0.03539,0.03925,0.03952
240,0.00210,-,0.01930,0.03956,0.03750,0.03883
241,0.00212,-,0.01904,0.03958,0.03625,0.03621
242,0.00213,-,0.01947,0.03956,0.03883,0.03965
243,0.00210,-,0.01948,0.03761,0.03752,0.03830
244,0.00209,-,0.01945,0.03959,0.03971,0.03969
245,0.00210,-,0.01946,0.03957,0.03971,0.03970
246,0.00209,-,0.01946,0.03956,0.03973,0.03972
247,0.00213,-,0.01944,0.03957,0.03971,0.03737
248,0.00215,-,0.01878,0.03968,0.03974,0.03751
249,0.00213,-,0.01945,0.03956,0.03898,0.03842
250,0.00212,-,0.03661,0.03587,0.03875,0.03971
251,0.00206,-,0.01942,0.03953,0.03848,0.03878
252,0.00220,-,0.01896,0.03814,0.03626,0.03877
253,0.00217,-,0.01908,0.03873,0.03968,0.03759
254,0.00211,-,0.03537,0.03877,0.03971,0.03881
255,0.00215,-,0.01909,0.03334,0.03833,0.03673
256,0.00213,-,0.01836,0.03955,0.03880,0.03687
257,0.00209,-,0.01912,0.03834,0.03754,0.03724
258,0.00209,-,0.01911,0.03956,0.03812,0.03751
259,0.00213,-,0.01949,0.03956,0.03755,0.03751
260,0.00216,-,0.01948,0.03960,0.03756,0.03752
261,0.00223,-,0.01951,0.03968,0.03761,0.03752
262,0.00214,-,0.01908,0.03961,0.03921,0.03975
263,0.00214,-,0.01943,0.03957,0.03966,0.03968
264,0.00207,-,0.01943,0.03584,0.03752,0.03752
265,0.00205,-,0.03543,0.03882,0.03633,0.03876
266,0.00210,-,0.01863,0.03957,0.03970,0.03913
267,0.00209,-,0.01880,0.03576,0.03752,0.03880
268,0.00220,-,0.01947,0.03831,0.03753,0.03752
269,0.00216,-,0.01949,0.03925,0.03788,0.03624
270,0.00210,-,0.01944,0.03956,0.03752,0.03756
271,0.00211,-,0.01948,0.03961,0.03751,0.03748
272,0.00213,-,0.01908,0.03958,0.03787,0.03975
273,0.00211,-,0.01946,0.03958,0.03954,0.03971
274,0.00207,-,0.01945,0.03749,0.03794,0.03981
275,0.00212,-,0.01943,0.03958,0.03854,0.03880
276,0.00212,-,0.01913,0.03956,0.03757,0.03756
277,0.00212,-,0.01908,0.03956,0.03752,0.03751
278,0.00210,-,0.01947,0.03959,0.03754,0.03754
279,0.00215,-,0.01944,0.03955,0.03756,0.03754
280,0.00209,-,0.01942,0.03929,0.03877,0.03909
281,0.00209,-,0.03794,0.03964,0.03924,0.03881
282,0.00212,-,0.03882,0.03585,0.03879,0.03811
283,0.00211,-,0.03909,0.03886,0.03601,0.03794
284,0.00213,-,0.03907,0.03841,0.03672,0.03876
285,0.00209,-,0.03911,0.03758,0.03751,0.03883
286,0.00222,-,0.03870,0.03843,0.03754,0.03753
287,0.00216,-,0.03948,0.03840,0.03749,0.03747
288,0.00214,-,0.03910,0.03965,0.03989,0.03949
289,0.00220,-,0.03951,0.03960,0.03616,0.03753
290,0.00211,-,0.03950,0.03959,0.04016,0.03979
291,0.00212,-,0.03948,0.03962,0.03746,0.03756
292,0.00212,-,0.03907,0.03841,0.03666,0.03706
293,0.00212,-,0.03910,0.03767,0.03973,0.03609
294,0.00208,-,0.03708,0.03589,0.03751,0.03877
295,0.00223,-,0.03952,0.03762,0.03487,0.03887
296,0.00210,-,0.03948,0.03563,0.03759,0.03985
297,0.00217,-,0.03946,0.03957,0.03901,0.03819
298,0.00216,-,0.03530,0.03541,0.03754,0.03979
299,0.00212,-,0.03805,0.03883,0.03982,0.03732
300,0.00210,-,0.03821,0.03755,0.03971,0.03973
301,0.00206,-,0.03917,0.03967,0.03976,0.03971
302,0.00208,-,0.03941,0.03701,0.03751,0.03972
303,0.00208,-,0.03947,0.03753,0.03972,0.03968
304,0.00209,-,0.03857,0.03631,0.03875,0.03597
305,0.00218,-,0.03529,0.03958,0.03971,0.03969
306,0.00212,-,0.03831,0.03968,0.03882,0.03601
307,0.00211,-,0.03911,0.03752,0.03755,0.03753
308,0.00211,-,0.03950,0.03956,0.03764,0.03752
309,0.00208,-,0.03539,0.03757,0.03757,0.03752
310,0.00206,-,0.03917,0.03784,0.03687,0.03875
311,0.00210,-,0.03911,0.03885,0.03754,0.03752
312,0.00209,-,0.03914,0.03751,0.03974,0.03978
